名稱,評分,圖鑑編號,第一屬性,第二屬性,攻擊力,防禦力,HP,Stat Product,等級,一般招式,特殊招式1,特殊招式2,幾下可用特招1,幾下可用特招2,夥伴行走距離,開第二招星塵花費
雷吉斯奇魯,98.7,379,鋼,,122.8,242.2,171,5086235,49,鎖定,真氣彈,電磁炮,15,16,20,100000
騎拉帝納 別種,96.4,487,幽靈,龍,133.8,165.3,209,4623396,27.5,暗影爪,龍爪,影子偷襲,5,6,20,100000
蚊香泳士,95.8,62,水,格鬥,149.3,157.3,177,4158735,42.5,雙倍奉還,冰凍之風,熱水,7,8,3,50000
克雷色利亞,94.8,488,超能力,,120,207.9,208,5191239,35.5,精神利刃,打草結,月亮之力,6,7,20,100000
基格爾德 完全體,94,718,龍,地面,126.2,146.9,266,4934387,25,龍尾,咬碎,地震,5,8,20,100000
大比鳥,93.7,18,一般,飛行,152.1,142,176,3801427,50,翅膀攻擊,羽毛舞,勇鳥猛攻,7,7,1,10000
蚊香泳士 暗影,93.4,62,水,格鬥,149.3,157.3,177,4158735,42.5,雙倍奉還,冰凍之風,熱水,7,8,3,50000
禿鷹娜,92.8,630,惡,飛行,121,184.9,215,4809416,50,大聲咆哮,惡之波動,燕返,4,4,5,75000
雷吉斯奇魯 暗影,92.6,379,鋼,,122.8,242.2,171,5086235,49,鎖定,真氣彈,電磁炮,15,16,20,100000
畢力吉翁,92.4,640,草,格鬥,146.2,179.3,163,4272667,30.5,二連踢,葉刃,聖劍,3,3,20,100000
卡璞・鰭鰭,91.9,788,水,妖精,148.1,201.8,141,4214757,36,水槍,衝浪,月亮之力,14,20,20,100000
勾帕路翁,91.8,638,鋼,格鬥,146.2,179.3,163,4272667,30.5,二連踢,聖劍,尖石攻擊,3,5,20,100000
雷吉洛克,91.7,377,岩石,,133.9,237.1,146,4634630,30,鎖定,尖石攻擊,真氣彈,11,15,20,100000
巨沼怪,91.3,260,水,地面,158.5,140.7,176,3927038,31.5,泥巴射擊,加農水砲,地震,5,8,3,10000
烈箭鷹,91.2,663,火,飛行,160.5,142.9,168,3851770,50,燒盡,飛翔,蓄能焰襲,3,3,1,10000
盔甲鳥,90.8,227,鋼,飛行,137,202.5,149,4132945,50,鋼翼,勇鳥猛攻,神鳥猛擊,8,8,5,75000
藏飽栗鼠,90.5,820,一般,,138.6,142.9,227,4496012,50,泥巴射擊,泰山壓頂,咬碎,4,5,1,10000
電燈怪,90.4,171,水,電,135.3,127.7,237,4095308,50,電光,衝浪,十萬伏特,6,8,3,50000
大嘴鷗,90.4,279,水,飛行,159.7,158.8,142,3600580,50,翅膀攻擊,氣象球 水,暴風,5,9,3,50000
天蠍王,90.3,472,地面,飛行,148.8,185.8,151,4176599,39.5,翅膀攻擊,暗襲要害,地震,5,9,5,75000
惡食大王,90.3,799,惡,龍,146.2,86.1,339,4265717,35,龍尾,龍爪,咬碎,4,5,20,100000
巨沼怪 暗影,90.3,260,水,地面,158.5,140.7,176,3927038,31.5,泥巴射擊,加農水砲,地震,5,8,3,10000
胖嘟嘟,90.1,593,水,幽靈,141.5,158,197,4404417,46.5,禍不單行,衝浪,暗影球,4,5,3,50000
雷吉洛克 暗影,90.1,377,岩石,,133.9,237.1,146,4634630,30,鎖定,尖石攻擊,真氣彈,11,15,20,100000
骨紋巨聲鱷,89.8,911,火,幽靈,157,140.7,180,3978753,31.5,燒盡,暗影球,魅惑之聲,3,3,3,10000
天蠍王 暗影,89.7,472,地面,飛行,148.8,185.8,151,4176599,39.5,翅膀攻擊,暗襲要害,地震,5,9,5,75000
毒刺水母,89.6,73,水,毒,141.2,185.2,168,4390693,48,毒擊,熱水,暴風雪,8,11,3,50000
噴火龍,89.5,6,火,飛行,172.3,139,151,3617527,34,翅膀攻擊,爆炸烈焰,龍爪,7,5,3,10000
代歐奇希斯 防禦,89.4,386,超能力,,130.2,288.2,126,4730043,50,雙倍奉還,精神突進,岩崩,5,7,20,100000
盔甲鳥 暗影,89.4,227,鋼,飛行,137,202.5,149,4132945,50,鋼翼,勇鳥猛攻,神鳥猛擊,8,8,5,75000
閃電鳥 暗影,89.3,145,電,飛行,175.7,134.9,149,3531634,26,電擊,啄鑽,十萬伏特,5,7,20,100000
酋雷姆,89.1,646,龍,冰,170.3,121.2,177,3654583,26,龍息,冰封世界,龍爪,14,12,20,100000
死神棺,88.8,563,幽靈,,146.2,209.7,138,4229372,49,暗影爪,暗影球,惡之波動,7,7,3,50000
大竺葵 暗影,88.8,154,草,,144.1,179.1,168,4333903,48.5,藤鞭,瘋狂植物,地震,6,9,3,10000
姆克鷹 暗影,88.8,398,一般,飛行,182,117.3,160,3415476,35,翅膀攻擊,飛翔,近身戰,6,6,1,10000
妙蛙花 暗影,88.7,3,草,毒,158.5,155.4,160,3939799,39,藤鞭,瘋狂植物,污泥炸彈,6,7,3,10000
快龍 暗影,88.3,149,龍,飛行,176,138.1,145,3524817,24,龍息,龍爪,蠻力,12,14,5,75000
電肚蛙,88.1,939,電,,148.6,139.9,201,4177449,40,電擊,放電,電磁炮,5,9,1,50000
爆肌蚊,88.1,794,蟲,格鬥,166.4,142.4,158,3743017,26.5,雙倍奉還,蠻力,猛撲,6,7,20,100000
暴雪王,88,460,草,冰,152.9,143.7,185,4062901,49,細雪,冰凍之風,能量球,6,7,3,50000
冰雪巨龍,88,699,岩石,冰,147.1,134.8,214,4244259,36.5,細雪,氣象球 冰,流星光束,5,8,5,75000
毛毛角羊,88,832,一般,,146.2,179,160,4187141,50,二連踢,泰山壓頂,以牙還牙,3,5,3,10000
帝牙海獅,88,365,冰,水,146.4,148,197,4269506,38,細雪,冰錐,地震,5,9,3,50000
具甲武者,87.9,768,蟲,水,161.1,171.2,140,3861521,29.5,暗影爪,燕返,水流裂破,5,6,1,10000
